Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
1,AA6BT,146.11500,+,0.6,Tone,100.0,88.5,23,NN,FM,5,"San Jose",
2,AA6PL,146.89500,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"San Carlos",
3,AB6AC,441.22500,+,5,Tone,127.3,88.5,23,NN,FM,5,"San Jose",
4,AB9U,146.50500,,0,Tone,100.0,88.5,23,NN,FM,5,"Los Gatos",
5,AD1U,146.97000,-,0.6,,88.5,88.5,23,NN,FM,5,"San Jose",
6,AF6EQ,441.87500,,0,Tone,100.0,88.5,23,NN,FM,5,"Sunnyvale-WIN System Affiliate",
7,AF6EQ,444.55000,+,5,Tone,100.0,88.5,23,NN,FM,5,"Sunnyvale",
8,AF6EQ,446.85000,,0,Tone,100.0,88.5,311,NN,FM,5,"Sunnyvale",
9,K1YJ,440.10000,+,5,Tone,100.0,88.5,23,NN,FM,5,"San Jose",
10,K6AIR,146.94000,-,0.6,Tone,123.0,88.5,23,NN,FM,5,"Los Altos Hill",
11,K6AIR,441.52500,+,5,Tone,123.0,88.5,23,NN,FM,5,"Los Altos Hill",
12,K6BEN,441.27500,+,5,,88.5,88.5,23,NN,FM,5,"San Jose",
13,K6BEN,443.12500,+,5,,88.5,88.5,23,NN,FM,5,"Saratoga",
14,K6CBR,146.55000,,0,Tone,110.9,88.5,23,NN,FM,5,"Mountain View",
15,K6CBR,446.45000,,0,Tone,110.9,88.5,23,NN,FM,5,"Roaming California",
16,K6CBR,446.50000,,0,Tone,110.9,88.5,23,NN,FM,5,"Roaming California",
17,K6EXE,443.02500,+,5,,88.5,88.5,23,NN,FM,5,"Milpitas",
18,K6FB,145.45000,-,0.6,Tone,100.0,88.5,23,NN,FM,5,"Los Gatos",
19,K6FB,442.57500,+,5,Tone,100.0,88.5,23,NN,FM,5,"Palo Alto",
20,K6FUZ,147.10500,+,0.6,Tone,77.0,88.5,23,NN,FM,5,"Cupertino",
21,K6GL,145.17000,-,0.6,Tone,94.8,88.5,23,NN,FM,5,"Sunnyvale",
22,K6GOD,440.17500,+,5,Tone,131.8,88.5,23,NN,FM,5,"Hayward",
23,K6GOD,441.10000,+,5,Tone,156.7,88.5,23,NN,FM,5,"Santa Cruz",
24,K6GOD,442.35000,+,5,Tone,123.0,88.5,23,NN,FM,5,"San Jose",
25,K6GOD,444.72500,+,5,Tone,162.2,88.5,23,NN,FM,5,"San Jose",
26,K6GRC,145.31000,-,0.6,Tone,127.3,88.5,23,NN,FM,5,"Cupertino",
27,K6IB,434.30000,,0,Tone,85.4,88.5,23,NN,FM,5,"Fremont",
28,K6IB,434.45000,,0,Tone,85.4,88.5,23,NN,FM,5,"Fremont",
29,K6IB,434.72500,,0,Tone,100.0,88.5,23,NN,FM,5,"Fremont CA",
30,K6IB,446.50000,,0,Tone,85.4,88.5,411,NN,FM,5,"Fremont",
31,K6INC,146.82000,-,0.6,Tone,123.0,88.5,23,NN,FM,5,"San Jose",
32,K6INC,442.30000,+,5,Tone,114.8,88.5,23,NN,FM,5,"Los Gatos",
33,K6IRC,441.57500,+,5,,88.5,88.5,23,NN,FM,5,"Palo Alto",
34,K6JJC,443.70000,+,5,Tone,186.2,88.5,23,NN,FM,5,"Fremont",
35,K6JJC,444.02500,+,5,Tone,136.5,88.5,23,NN,FM,5,"San Jose",
36,K6LNK,443.07500,+,5,Tone,123.0,88.5,23,NN,FM,5,"San Jose",
37,K6MF,443.45000,+,5,,88.5,88.5,23,NN,FM,5,"San Jose",
38,K6MIA,442.85000,+,5,Tone,100.0,88.5,23,NN,FM,5,"San Jose",
39,K6MPN,444.50000,+,5,Tone,100.0,88.5,23,NN,FM,5,"Redwood City",
40,K6OTR,442.80000,+,5,Tone,114.8,88.5,23,NN,FM,5,"Palo Alto",
41,K6PIT,440.60000,+,0,Tone,141.3,88.5,23,NN,FM,5,"San Jose",
42,K6SA,146.65500,-,0.6,Tone,114.8,88.5,23,NN,FM,5,"Saratoga",
43,K6SNY,145.17000,-,0.6,Tone,94.8,88.5,23,NN,FM,5,"Sunnyvale",
44,K6TAZ,443.55000,+,5,,88.5,88.5,23,NN,FM,5,"San Jose",
45,K6TSR,440.25000,,0,Tone,107.2,88.5,23,NN,FM,5,"Portola Valley",
46,K6TSR,440.70000,,0,Tone,107.2,88.5,23,NN,FM,5,"Portola Valley",
47,K6UB,441.70000,+,5,Tone,127.3,88.5,23,NN,FM,5,"Los Gatos",
48,K6VUG,145.23000,,0,Tone,100.0,88.5,23,NN,FM,5,"Fremont",
49,K6YZS,442.95000,+,5,Tone,85.4,88.5,23,NN,FM,5,"San Jose",
50,K7DAA,147.33000,+,0.6,Tone,103.5,88.5,23,NN,FM,5,"Morgan Hill",
51,K7DAA,442.97500,+,5,Tone,100.0,88.5,23,NN,FM,5,"Morgan Hill",
52,K9GVF,440.32500,+,5,Tone,131.8,88.5,23,NN,FM,5,"Felton",
53,K9GVF,441.02500,+,5,Tone,156.7,88.5,23,NN,FM,5,"Campbell",
54,K9GVF,442.17500,+,5,Tone,100.0,88.5,23,NN,FM,5,"Campbell, Crystal Peak",
55,K9GVF,443.75000,+,5,Tone,100.0,88.5,23,NN,FM,5,"Los Gatos",
56,KA6ZRJ,440.57500,+,5,Tone,114.8,88.5,23,NN,FM,5,"Morgan Hill",
57,KB5JR,440.05000,+,5,Tone,100.0,88.5,23,NN,FM,5,"San Jose",
58,KB6FEC,145.31000,-,0.6,Tone,162.2,88.5,23,NN,FM,5,"San Jose",
59,KB6FEC,146.89500,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"San Jose",
60,KB6FEC,147.16500,+,0.6,Tone,100.0,88.5,23,NN,FM,5,"San Jose",
61,KB6LED,444.95000,+,5,Tone,162.2,88.5,23,NN,FM,5,"Palo Alto",
62,KC6BJO,441.15000,+,5,Tone,100.0,88.5,23,NN,FM,5,"San Jose",
63,KC6LLI,146.20500,+,0.6,Tone,103.5,88.5,23,NN,FM,5,"San Jose",
64,KC6SVW,440.08700,+,5,Tone,110.9,88.5,23,NN,FM,5,"Vaca",
65,KC6TYG,440.65000,+,5,Tone,94.8,88.5,23,NN,FM,5,"Los Gatos",
66,KC6ULT,146.86500,-,0.6,Tone,114.8,88.5,23,NN,FM,5,"San Mateo",
67,KC6WXO,441.12500,+,5,Tone,100.0,88.5,23,NN,FM,5,"Fremont",
68,KD5STN,144.45000,,0.6,,88.5,88.5,23,NN,FM,5,"Mountain View",
69,KD6AOG,146.35500,+,0.6,Tone,127.3,88.5,23,NN,FM,5,"San Jose",
70,KD6CUC,444.05000,+,5,,88.5,88.5,23,NN,FM,5,"San Jose",
71,KE6JTK,444.22500,+,5,Tone,131.8,88.5,23,NN,FM,5,"Los Altos Hills",
72,KE6MON,146.35500,+,0.6,Tone,123.0,88.5,23,NN,FM,5,"San Jose",
73,KF6FWO,147.28500,+,0.6,Tone,103.5,88.5,23,NN,FM,5,"San Jose",
74,KF6FWO,441.17500,+,5,Tone,103.5,88.5,23,NN,FM,5,"San Jose",
75,KF6JEE,446.28000,-,5,Tone,131.8,88.5,23,NN,FM,5,"Woodside",
76,KG6ATN,147.57000,,0,Tone,114.8,88.5,23,NN,FM,5,"Foster City",
77,KG6KCL,441.85000,+,5,,88.5,88.5,23,NN,FM,5,"San Jose",
78,KG6KCL,442.77500,+,5,Tone,131.8,88.5,23,NN,FM,5,"San Jose",
79,KG6QIL,147.43500,,0,Tone,74.4,88.5,23,NN,FM,5,"Sunnyvale",
80,KH6N,440.87500,+,5,Tone,100.0,88.5,23,NN,FM,5,"Los Altos",
81,KI6AOZ,146.08500,+,0.6,Tone,114.8,88.5,23,NN,FM,5,"Newark",
82,KI6FGR,147.57000,,0,Tone,151.4,88.5,23,NN,FM,5,"Cupertino",
83,KI6KGN,440.00000,,0,Tone,167.9,88.5,23,NN,FM,5,"Fremont",
84,KI6KGN,440.90000,+,5,Tone,141.3,88.5,23,NN,FM,5,"Fremont",
85,KI6RWZ,147.55500,,0,Tone,123.0,88.5,23,NN,FM,5,"San Jose",
86,KI6SEJ,446.90000,,0,DTCS,88.5,88.5,411,NN,FM,5,"Fremont",
87,KI6ZHD,441.00000,,5,,88.5,88.5,23,NN,FM,5,"Rancho la Mesa Mobile Home Cou",
88,KJ6ID,442.25000,+,5,Tone,77.0,88.5,23,NN,FM,5,"Santa Clara",
89,KJ6K,443.22500,+,5,,88.5,88.5,23,NN,FM,5,"Palo Alto",
90,KJ6VU,443.22500,+,0.005,Tone,100.0,88.5,23,NN,FM,5,"San Jose",
91,KJ6VU,444.07500,+,5,Tone,100.0,88.5,23,NN,FM,5,"San Jose",
92,KJ6VU,444.35000,+,5,,88.5,88.5,23,NN,FM,5,"Palo Alto",
93,KK6IHP,145.45000,,0.6,,88.5,88.5,23,NN,FM,5,"Marguerite",
94,KK6KPQ,443.60000,+,5,,88.5,88.5,23,NN,FM,5,"Palo Alto, Gunn High School",
95,KM6EF,146.61000,-,0.6,Tone,123.0,88.5,23,NN,FM,5,"Union City",
96,KR6WP,440.07500,+,5,Tone,114.8,88.5,23,NN,FM,5,"Belmont",
97,KU6V,442.77500,+,5,Tone,131.8,88.5,23,NN,FM,5,"San Jose",
98,KU6V,444.90000,+,5,Tone,110.9,88.5,23,NN,FM,5,"San Jose",
99,N1UFD,442.17500,+,5,,88.5,88.5,23,NN,FM,5,"San Jose",
100,N3CKF,446.48750,,0,,88.5,88.5,23,NN,FM,5,"Fremont",
101,N6BDE,440.20000,+,5,Tone,123.0,88.5,23,NN,FM,5,"Palo Alto",
102,N6HWI,443.72500,+,5,Tone,127.3,88.5,23,NN,FM,5,"Fremont",
103,N6IGF,443.40000,+,5,,88.5,88.5,23,NN,FM,5,"Fremont",
104,N6MPX,147.30000,+,0.6,Tone,100.0,88.5,23,NN,FM,5,"San Mateo",
105,N6NAC,444.62500,+,5,Tone,110.9,88.5,23,NN,FM,5,"San Jose",
106,N6OXR,441.52500,+,5,Tone,123.0,88.5,23,NN,FM,5,"Fremont",
107,N6QDY,147.94500,-,0.6,Tone,77.0,88.5,23,NN,FM,5,"Milpitas",
108,N6QDY,441.80000,+,5,Tone,77.0,88.5,23,NN,FM,5,"Milpitas",
109,N6TLQ,444.10000,+,5,,88.5,88.5,23,NN,FM,5,"San Jose",
110,N6TNR,440.37500,+,5,,88.5,88.5,23,NN,FM,5,"San Jose",
111,N6ZX,145.37000,-,0.6,Tone,107.2,88.5,23,NN,FM,5,"Woodside",
112,N6ZX,440.45000,+,5,Tone,107.2,88.5,23,NN,FM,5,"Woodside",
113,NA6MF,145.25000,-,0.6,Tone,123.0,88.5,23,NN,FM,5,"Moffett Field",
114,NA6MM,444.42500,+,5,Tone,107.2,88.5,23,NN,FM,5,"Los Gatos",
115,NO1PC,438.97500,,0,,88.5,88.5,23,NN,FM,5,"Campbell",
116,NO1PC,441.02500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Campbell",
117,NO1PC,442.17500,+,5,Tone,100.0,88.5,23,NN,FM,5,"Campbell",
118,W1NSA,441.77500,+,5,Tone,156.7,88.5,23,NN,FM,5,"San Jose",
119,W1NSA,443.90000,+,5,Tone,162.2,88.5,23,NN,FM,5,"San Jose",
120,W3PT,145.23000,,0.6,,88.5,88.5,23,NN,FM,5,"Runnymeade",
121,KE6JTK,444.22500,+,5,Tone,131.8,88.5,23,NN,FM,5,"San Jose",
122,W6AMT,440.12500,+,5,Tone,114.8,88.5,23,NN,FM,5,"Cupertino",
123,W6AMT,443.27500,+,5,Tone,107.2,88.5,23,NN,FM,5,"San Jose",
124,W6ASH,145.27000,-,0.6,Tone,100.0,88.5,23,NN,FM,5,"Mountain View",
125,W6ASH,440.80000,+,5,Tone,100.0,88.5,23,NN,FM,5,"Mountain View",
126,W6BTT,444.55000,,5,,88.5,88.5,23,NN,FM,5,"Pabrico",
127,W6BUG,443.85000,+,5,,88.5,88.5,23,NN,FM,5,"LosAltosHills",
128,W6CBS,441.02500,+,0,Tone,100.0,88.5,23,NN,FM,5,"San Carlos",
129,W6CBS,441.61250,+,5,Tone,100.0,88.5,23,NN,FM,5,"San Carlos",
130,W6DYL,145.39000,-,0.6,Tone,94.8,88.5,23,NN,FM,5,"San Jose",
131,W6GGF,147.82500,-,0.6,Tone,100.0,88.5,23,NN,FM,5,"Morgan Hill",
132,W6LAH,146.74500,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"LosAltosHills",
133,W6MLP,145.43000,-,0.6,Tone,85.4,88.5,23,NN,FM,5,"Milpitas",
134,W6OOL,443.00000,+,5,,88.5,88.5,23,NN,FM,5,"Palo Alto",
135,W6OOL,444.17500,+,5,Tone,107.2,88.5,23,NN,FM,5,"San Jose",
136,W6PIY,147.39000,+,0.6,Tone,151.4,88.5,23,NN,FM,5,"San Jose",
137,W6PIY,441.35000,+,5,,88.5,88.5,23,NN,FM,5,"San Jose",
138,W6SCF,146.73000,-,0.6,Tone,114.8,88.5,23,NN,FM,5,"La Honda",
139,W6SMQ,440.10000,+,5,Tone,127.3,88.5,23,NN,FM,5,"San Jose",
140,W6SRR,147.04500,+,0.6,Tone,94.8,88.5,23,NN,FM,5,"Pleasanton",
141,W6SRR,442.62500,+,5,Tone,94.8,88.5,23,NN,FM,5,"Pleasanton",
142,W6TDM,440.15000,+,5,Tone,100.0,88.5,23,NN,FM,5,"Cupertino",
143,W6TI,147.36000,+,0.6,Tone,110.9,88.5,23,NN,FM,5,"Palo Alto",
144,W6UU,146.98500,-,0.6,Tone,114.8,88.5,23,NN,FM,5,"San Jose",
145,W6UU,442.42500,+,5,Tone,107.2,88.5,23,NN,FM,5,"San Jose",
146,W6VB,441.55000,+,5,,88.5,88.5,23,NN,FM,5,"Cupertino",
147,W6WLS,444.15000,+,5,Tone,123.0,88.5,23,NN,FM,5,"Felton",
148,W6YL,443.90000,+,5,Tone,100.0,88.5,23,NN,FM,5,"San Jose",
149,W7AFG,444.30000,+,5,Tone,173.8,88.5,23,NN,FM,5,"San Jose",
150,W6UU,146.98500,-,0.6,Tone,114.8,88.5,23,NN,FM,5,"San Jose",
151,W9KKN,440.25000,+,0,Tone,100.0,88.5,23,NN,FM,5,"Sunnyvale",
152,WA2IBM,145.19000,-,0.6,Tone,151.4,88.5,23,NN,FM,5,"San Jose",
153,WA6ABB,443.02500,+,5,,88.5,88.5,23,NN,FM,5,"Los Gatos",
154,WA6DQP,440.10000,+,5,Tone,114.8,88.5,23,NN,FM,5,"La Honda",
155,WA6DY,147.10500,+,0.6,Tone,100.0,88.5,23,NN,FM,5,"Sunnyvale",
156,WA6FSP,440.00000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Fremont",
157,WA6FUL,441.10000,+,5,Tone,192.8,88.5,23,NN,FM,5,"Sebastopol",
158,WA6FUL,442.55000,+,5,,88.5,88.5,23,NN,FM,5,"Santa Cruz",
159,WA6GEL,444.80000,+,5,,88.5,88.5,23,NN,FM,5,"Daly City",
160,WA6GFY,443.77500,+,5,Tone,100.0,88.5,23,NN,FM,5,"San Jose",
161,WA6HHQ,440.27500,+,5,Tone,127.3,88.5,23,NN,FM,5,"San Jose",
162,WA6PWW,147.01500,+,0.6,Tone,103.5,88.5,23,NN,FM,5,"Fremont",
163,WA6PWW,442.60000,+,5,Tone,107.2,88.5,23,NN,FM,5,"Fremont",
164,WA6QDP,441.72500,+,5,,88.5,88.5,23,NN,FM,5,"San Jose",
165,WA6TEM,147.85500,-,0.6,Tone,100.0,88.5,23,NN,FM,5,"San Jose",
166,WA6YCZ,147.15000,+,0.6,,88.5,88.5,23,NN,FM,5,"San Jose",
167,WA6YLV,442.87500,+,5,Tone,100.0,88.5,23,NN,FM,5,"San Jose",
168,WA6YOP,440.27500,+,5,Tone,127.3,88.5,23,NN,FM,5,"San Jose",
169,WB5NVN,146.08500,+,0.6,Tone,100.0,88.5,23,NN,FM,5,"Portola Valley",
170,WB6CKT,147.09000,+,0.6,Tone,100.0,88.5,23,NN,FM,5,"Belmont",
171,WB6ECE,441.30000,+,5,Tone,100.0,88.5,23,NN,FM,5,"La Honda",
172,WB6IRC,441.57500,+,5,Tone,94.8,88.5,23,NN,FM,5,"Palo Alto",
173,WB6KHP,440.02500,+,5,Tone,100.0,88.5,23,NN,FM,5,"San Jose",
174,WB6KHP,442.45000,+,5,Tone,100.0,88.5,23,NN,FM,5,"San Jose",
175,WB6KHP,444.70000,+,5,Tone,127.3,88.5,23,NN,FM,5,"San Jose",
176,WB6KHP,444.97500,+,5,Tone,127.3,88.5,23,NN,FM,5,"Los Gatos",
177,WB6LPZ,444.12500,+,5,,88.5,88.5,23,NN,FM,5,"Los Gatos",
178,WB6NNY,443.75000,+,5,Tone,100.0,88.5,23,NN,FM,5,"Palo Alto",
179,WB6OQS,146.76000,-,0.6,Tone,151.4,88.5,23,NN,FM,5,"San Jose",
180,WB6OQS,444.60000,+,5,Tone,141.3,88.5,23,NN,FM,5,"San Jose",
181,WB6WTM,441.25000,+,5,,88.5,88.5,23,NN,FM,5,"Los Altos",
182,WB6ZVW,147.52500,,0,Tone,127.3,88.5,23,NN,FM,5,"Morgan Hill",
183,WB6ZVW,442.50000,+,5,Tone,100.0,88.5,23,NN,FM,5,"San Jose",
184,WC6O,443.85000,+,5,,88.5,88.5,23,NN,FM,5,"Los Altos Hills",
185,WD6GGW,441.40000,+,5,Tone,114.8,88.5,23,NN,FM,5,"Redwood City",
186,WR6ABD,146.64000,-,0.6,Tone,162.2,88.5,23,NN,FM,5,"San Jose",
187,WR6ABD,442.90000,+,5,Tone,162.2,88.5,23,NN,FM,5,"San Jose",
188,WR6AOK,147.12000,+,0.6,Tone,94.8,88.5,23,NN,FM,5,"Ben Lomond",
189,WR6BAT,442.12500,+,5,,88.5,88.5,23,NN,FM,5,"Cupertino",
190,WR6COP,440.45000,+,5,Tone,100.0,88.5,23,NN,FM,5,"San Jose",
191,WR6COP,440.95000,+,5,Tone,71.9,88.5,23,NN,FM,5,"San Jose",
192,WR6COP,442.82500,+,5,,88.5,88.5,23,NN,FM,5,"San Jose",
193,WW6BAY,145.39000,-,0.6,Tone,100.0,88.5,23,NN,FM,5,"Palo Alto",
194,WW6BAY,443.22500,+,5,Tone,100.0,88.5,23,NN,FM,5,"Palo Alto",
195,WW6HP,442.00000,+,5,Tone,151.4,88.5,23,NN,FM,5,"Palo Alto",
196,N6NFI,145.23000,-,0.6,Tone,100.0,88.5,23,NN,FM,5,"Palo Alto",
